phase,param,value,qps,recall,cv_pct
1a,ef_search,40,,20596,0.9461,2.8
1a,ef_search,45,,19417,0.9551,0.8
1a,ef_search,50,,17893,0.9626,1.2
1a,ef_search,55,,16953,0.9686,0.6
1a,ef_search,60,,15915,0.9728,0.8
1a,ef_search,65,,15065,0.9767,0.5
1a,ef_search,70,,14274,0.9797,0.5
1b,prefetch_offset,0,,11657,0.9626,2.5
1b,prefetch_offset,2,,14171,0.9626,1.0
1b,prefetch_offset,4,,16732,0.9626,1.4
1b,prefetch_offset,6,,18169,0.9626,0.7
1b,prefetch_offset,8,,18569,0.9626,0.3
1b,prefetch_offset,10,,18023,0.9626,0.2
1b,prefetch_offset,12,,16990,0.9626,1.8
1b,prefetch_offset,16,,16080,0.9626,1.0
1c,rerank_factor,1,,19155,0.8538,1.0
1c,rerank_factor,2,,18608,0.9597,0.9
1c,rerank_factor,3,,17863,0.9626,2.6
1c,rerank_factor,4,,17998,0.9627,0.6
1c,rerank_factor,5,,17693,0.9627,0.7
1c,rerank_factor,8,,17504,0.9627,0.9
